store_id,name,city,district_tag,lat,lon,rf_sales_10k,area_sqm,initial_investment_10k,annual_fixed_cost_10k,is_existing,source_note
EX_BJ_MTGG01,快乐猴北京商投广场店,beijing,Mentougou,39.9342292,116.0950479,0,650,0,0,1,北京市门头沟区大峪中路2号院1号楼1层
EX_BJ_CP01,快乐猴北京昌平鼓楼南街店,beijing,Changping,40.2153953,116.2275584,0,650,0,0,1,北京市昌平鼓楼南街1-2号
EX_HZ_DG01,快乐猴杭州大关路店,hangzhou,Gongshu,30.3031475,120.1332563,0,650,0,0,1,杭州市拱墅区大关路291号1幢105室
EX_HZ_MDLY01,快乐猴杭州美达丽阳店,hangzhou,Gongshu,30.2946474,120.1431193,0,650,0,0,1,杭州市拱墅区湖墅南路186-1号
EX_HZ_XS01,快乐猴杭州下沙欢肆店,hangzhou,Qiantang,30.3126515,120.3304175,0,650,0,0,1,杭州市钱塘区龙湖下沙欢肆街区1楼
